鼻子: x=0.5840, y=0.5179, z=0.0711, v=0.9957
左眼(内): x=0.5839, y=0.5116, z=0.0773, v=0.9927
左眼: x=0.5838, y=0.5116, z=0.0773, v=0.9919
左眼(外): x=0.5836, y=0.5115, z=0.0773, v=0.9935
右眼(内): x=0.5826, y=0.5114, z=0.0704, v=0.9927
右眼: x=0.5820, y=0.5112, z=0.0704, v=0.9925
右眼(外): x=0.5806, y=0.5110, z=0.0704, v=0.9930
左耳: x=0.5796, y=0.5126, z=0.1048, v=0.9848
右耳: x=0.5764, y=0.5127, z=0.0743, v=0.9847
嘴(左): x=0.5828, y=0.5233, z=0.0818, v=0.9915
嘴(右): x=0.5812, y=0.5242, z=0.0729, v=0.9905
左肩: x=0.5840, y=0.5440, z=0.1052, v=0.9981
右肩: x=0.5663, y=0.5427, z=0.0465, v=0.9983
左肘: x=0.5816, y=0.5607, z=0.0609, v=0.7683
右肘: x=0.5801, y=0.5552, z=0.0010, v=0.5034
左手腕: x=0.5720, y=0.5418, z=0.0041, v=0.6142
右手腕: x=0.5869, y=0.5193, z=0.0051, v=0.4180
左手: x=0.5699, y=0.5386, z=-0.0083, v=0.5470
右手: x=0.5898, y=0.5098, z=-0.0004, v=0.3967
左小指: x=0.5692, y=0.5348, z=-0.0025, v=0.5538
右小指: x=0.5880, y=0.5083, z=0.0027, v=0.3941
左食指: x=0.5697, y=0.5374, z=0.0040, v=0.5457
右食指: x=0.5876, y=0.5121, z=0.0067, v=0.3799
左髋: x=0.5838, y=0.6217, z=0.0291, v=0.9985
右髋: x=0.5762, y=0.6233, z=-0.0290, v=0.9978
左膝: x=0.6193, y=0.6618, z=-0.0021, v=0.9240
右膝: x=0.6082, y=0.6542, z=-0.0494, v=0.7748
左踝: x=0.6258, y=0.7022, z=-0.0069, v=0.9191
右踝: x=0.6425, y=0.7042, z=-0.0576, v=0.8730
左脚: x=0.6245, y=0.7108, z=-0.0088, v=0.7814
右脚: x=0.6456, y=0.7174, z=-0.0594, v=0.8342
左脚趾: x=0.6378, y=0.7077, z=-0.0335, v=0.9095
右脚趾: x=0.6562, y=0.7019, z=-0.0892, v=0.9061
